image,text
data/raw/img_0000.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0001.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0002.png,یہ ایک مثال ہے
data/raw/img_0003.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0004.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0005.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0006.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0007.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0008.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0009.png,یہ ایک مثال ہے
data/raw/img_0010.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0011.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0012.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0013.png,یہ ایک مثال ہے
data/raw/img_0014.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0015.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0016.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0017.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0018.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0019.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0020.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0021.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0022.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0023.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0024.png,یہ ایک مثال ہے
data/raw/img_0025.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0026.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0027.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0028.png,یہ ایک مثال ہے
data/raw/img_0029.png,یہ ایک مثال ہے
data/raw/img_0030.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0031.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0032.png,یہ ایک مثال ہے
data/raw/img_0033.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0034.png,یہ ایک مثال ہے
data/raw/img_0035.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0036.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0037.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0038.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0039.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0040.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0041.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0042.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0043.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0044.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0045.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0046.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0047.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0048.png,یہ ایک مثال ہے
data/raw/img_0049.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0050.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0051.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0052.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0053.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0054.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0055.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0056.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0057.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0058.png,یہ ایک مثال ہے
data/raw/img_0059.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0060.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0061.png,یہ ایک مثال ہے
data/raw/img_0062.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0063.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0064.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0065.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0066.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0067.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0068.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0069.png,یہ ایک مثال ہے
data/raw/img_0070.png,یہ ایک مثال ہے
data/raw/img_0071.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0072.png,یہ ایک مثال ہے
data/raw/img_0073.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0074.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0075.png,یہ ایک مثال ہے
data/raw/img_0076.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0077.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0078.png,یہ ایک مثال ہے
data/raw/img_0079.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0080.png,یہ ایک مثال ہے
data/raw/img_0081.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0082.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0083.png,یہ ایک مثال ہے
data/raw/img_0084.png,یہ ایک مثال ہے
data/raw/img_0085.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0086.png,یہ ایک مثال ہے
data/raw/img_0087.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0088.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0089.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0090.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0091.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0092.png,یہ ایک مثال ہے
data/raw/img_0093.png,یہ ایک مثال ہے
data/raw/img_0094.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0095.png,یہ ایک مثال ہے
data/raw/img_0096.png,یہ ایک مثال ہے
data/raw/img_0097.png,یہ ایک مثال ہے
data/raw/img_0098.png,یہ ایک مثال ہے
data/raw/img_0099.png,یہ ایک مثال ہے
data/raw/img_0100.png,یہ ایک مثال ہے
data/raw/img_0101.png,یہ ایک مثال ہے
data/raw/img_0102.png,یہ ایک مثال ہے
data/raw/img_0103.png,یہ ایک مثال ہے
data/raw/img_0104.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0105.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0106.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0107.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0108.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0109.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0110.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0111.png,یہ ایک مثال ہے
data/raw/img_0112.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0113.png,یہ ایک مثال ہے
data/raw/img_0114.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0115.png,یہ ایک مثال ہے
data/raw/img_0116.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0117.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0118.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0119.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0120.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0121.png,یہ ایک مثال ہے
data/raw/img_0122.png,یہ ایک مثال ہے
data/raw/img_0123.png,یہ ایک مثال ہے
data/raw/img_0124.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0125.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0126.png,یہ ایک مثال ہے
data/raw/img_0127.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0128.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0129.png,یہ ایک مثال ہے
data/raw/img_0130.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0131.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0132.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0133.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0134.png,یہ ایک مثال ہے
data/raw/img_0135.png,یہ ایک مثال ہے
data/raw/img_0136.png,یہ ایک مثال ہے
data/raw/img_0137.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0138.png,یہ ایک مثال ہے
data/raw/img_0139.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0140.png,یہ ایک مثال ہے
data/raw/img_0141.png,یہ ایک مثال ہے
data/raw/img_0142.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0143.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0144.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0145.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0146.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0147.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0148.png,یہ ایک مثال ہے
data/raw/img_0149.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0150.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0151.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0152.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0153.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0154.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0155.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0156.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0157.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0158.png,یہ ایک مثال ہے
data/raw/img_0159.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0160.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0161.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0162.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0163.png,یہ ایک مثال ہے
data/raw/img_0164.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0165.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0166.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0167.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0168.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0169.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0170.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0171.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0172.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0173.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0174.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0175.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0176.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0177.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0178.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0179.png,یہ ایک مثال ہے
data/raw/img_0180.png,یہ ایک مثال ہے
data/raw/img_0181.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0182.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0183.png,یہ ایک مثال ہے
data/raw/img_0184.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0185.png,یہ ایک مثال ہے
data/raw/img_0186.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0187.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0188.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0189.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0190.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0191.png,یہ ایک مثال ہے
data/raw/img_0192.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0193.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0194.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0195.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0196.png,یہ ایک مثال ہے
data/raw/img_0197.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0198.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0199.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0200.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0201.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0202.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0203.png,یہ ایک مثال ہے
data/raw/img_0204.png,یہ ایک مثال ہے
data/raw/img_0205.png,یہ ایک مثال ہے
data/raw/img_0206.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0207.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0208.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0209.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0210.png,کتاب پڑھنا اچھی عادت ہے
data/raw/img_0211.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0212.png,یہ ایک مثال ہے
data/raw/img_0213.png,یہ ایک مثال ہے
data/raw/img_0214.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0215.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0216.png,پاکستان ایک خوبصورت ملک ہے
data/raw/img_0217.png,میں اردو زبان سیکھ رہا ہوں
data/raw/img_0218.png,یہ ایک مثال ہے
data/raw/img_0219.png,کتاب پڑھنا اچھی عادت ہے
